Gemeinden,Anzahl_Fahrzeuge,Postleitzahl,Laengengrad,Breitengrad,Distanz_in_km
KORDEL,8,54306,6.631164,49.839859,558.63
KORSCHENBROICH,290,41352,6.515709,51.190965,496.02
KOSEROW,9,17459,13.999692,54.049406,174.79
KOTTENHEIM,19,56736,7.25673,50.348939,490.13
KOTTGEISERING,8,82288,11.131747,48.119156,515.79
KOTTWEILER SCHWANDEN,10,66879,7.538939,49.473245,532.56
KRACKOW,1,17328,14.265689,53.343613,108.36
KRAFTSDORF,34,07586,11.914386,50.876388,209.88
KRAILLING,47,82152,11.409622,48.097164,512.32
KRAKOW AM SEE,11,18292,12.26785,53.652481,147.21
KRAMERHOF,4,18445,13.054042,54.3537,205.45
KRANENBURG,2,21726,9.207459,53.605166,305.62
KRANENBURG1,1,47559,6.007969,51.789765,511.46
KRANICHFELD,24,99448,11.201902,50.854496,239.75
KRANZBERG,50,85402,11.616607,48.406009,475.14
KRAUCHENWIES,63,72505,9.249308,48.018633,581.6
KRAUSCHWITZ,33,02957,14.718151,51.516045,143.47
KRAUTHAUSEN,11,99819,10.271175,51.016799,273.1
KREBA NEUDORF,6,02906,14.684646,51.347784,157.29
KREIMBACH KAULBACH,1,67757,7.632979,49.553828,521.52
KREISCHA,43,01731,13.759963,50.945374,176.99
KREMBZ,1,19205,11.060801,53.651085,201.03
KREMITZAUE,6,04936,13.315825,51.725756,88.63
KREMMEN,84,16766,13.026328,52.76282,37.21
KREMPEL,1,25774,9.027607,54.320019,352.72
KRESSBERG,36,74594,10.184266,49.130659,439.95
KRESSBRONN AM BODENSEE,82,88079,9.59834,47.596747,611.65
KRETZ,1,56630,7.361895,50.394106,481.13
KRETZSCHAU,16,06712,12.071959,51.054601,187.17
KREUTH,15,83708,11.744271,47.641812,555.8
KREUZAU,171,52372,6.489241,50.74596,516.78
KRICKENBACH,13,67706,7.666436,49.362893,534.07
KRIEBITZSCH,14,04617,12.33447,51.024743,182.05
KRIEBSTEIN,16,09648,13.011983,51.042574,166.68
KRIEGSFELD,10,67819,7.915738,49.709175,494.79
KRIEN,1,17391,13.446721,53.830093,145.86
KRIFTEL,80,65830,8.468224,50.082683,437.64
KRITZMOW,24,18198,12.0523,54.05311,192.94
KROELPA,17,07387,11.539483,50.677278,242.3
KROENING,18,84178,12.36331,48.552597,447.74
KROEPELIN,26,18236,11.796062,54.071022,203.14
KROESLIN,10,17440,13.752524,54.117831,179.36
KROEV,11,54536,7.089673,49.980847,522.71
KROMSDORF,6,99441,11.371115,51.000064,219.68
KRONAU,62,76709,8.634487,49.219296,497.1
KRONBURG,11,87758,10.156359,47.90474,563.34
KRONPRINZENKOOG,1,25709,8.964528,53.97171,336.97
KROPPACH,1,57612,7.737747,50.695784,441.12
KROPPEN,2,01945,13.799154,51.384458,129.27
KROPPENSTEDT,12,39397,11.308753,51.942154,156.72
KROSTITZ,27,04509,12.453835,51.461574,134.66
KRUCKOW,2,17129,13.236376,53.90128,154.17
KRUEN,9,82494,11.278469,47.505053,578.55
KRUFT,42,56642,7.336575,50.385163,483.19
KRUMMENNAAB,7,92703,12.098966,49.831006,312.89
KRUMMHOERN,86,26736,7.097865,53.434097,434.67
KRUNKEL,1,56593,7.502305,50.579521,461.98
KRUSENHAGEN,1,23974,11.531895,53.944805,201.81
KUBSCHUETZ,18,02627,14.505323,51.169556,168.3
KUEHLENTHAL,2,86707,10.820736,48.56553,476.58
KUEHNDORF,4,98547,10.490329,50.607977,293.18
KUELLSTEDT,10,37359,10.27809,51.276661,255.48
KUEMMERSBRUCK,89,92245,11.877755,49.419327,361.37
KUENZELL,152,36093,9.706606,50.538641,337.93
KUENZING,31,94550,13.078295,48.668541,429.36
KUERNACH,48,97273,10.039905,49.846629,378.99
KUERNBACH,10,75057,8.844275,49.076664,499.69
KUERTEN,217,51515,7.264225,51.051583,453.18
KUESSABERG,67,79790,8.305426,47.589996,658.44
KUESTEN,8,29482,11.06516,52.97687,165.65
KUESTRINER VORLAND,14,15328,14.552526,52.549931,77.78
KUHARDT,13,76773,8.315402,49.144499,518.64
KUHFELDE,8,29416,11.114595,52.785222,157.46
KUHSTORF,1,19230,11.24792,53.384197,173.72
KULMAIN,9,95508,11.899146,49.892343,310.77
KUMHAUSEN,50,84036,12.160133,48.507387,455.27
KUNREUTH,13,91358,11.143324,49.68231,353.2
KUPFERZELL,47,74635,9.68958,49.227563,449.81
KURTSCHEID,7,56581,7.460901,50.533925,467.08
KUSTERDINGEN,79,72127,9.120318,48.521842,538.35
KUTENHOLZ,40,27449,9.322712,53.481264,293.62
KUTZENHAUSEN,12,86500,10.693702,48.341876,503.19
KUTZLEBEN,1,99955,10.870633,51.194429,228.31
KYRITZ,85,16866,12.396931,52.940717,82.53
LAAGE,35,18299,12.346162,53.927441,171.83
LAAR,10,49824,6.740122,52.61344,450.93
LABERWEINTING,29,84082,12.321555,48.797151,421.41
LACHEN,10,87760,10.238632,47.945918,556.73
LACHENDORF,61,29331,10.245238,52.62209,214.06
LADBERGEN,63,49549,7.737293,52.136598,387.83
LAEHDEN,48,49774,7.567496,52.744149,395.08
LAER,59,48366,7.357204,52.054322,414.94
LAGE,9,32791,8.79254,51.991233,319.71
LAGE1,4,49828,6.961467,52.468027,436.61
LAHN,4,49757,7.616105,52.81632,392.07
LAHNAU,84,35633,8.565071,50.576168,398.71
LAHNTAL,89,35094,8.70517,50.862656,373.02
LALENDORF,14,18279,12.387568,53.756899,153.54
LALLING,9,94551,13.14067,48.845214,409.5
LAMBRECHTSHAGEN,24,18069,12.015425,54.102241,198.9
LAMBSBORN,5,66894,7.428122,49.367433,546.41
LAMBSHEIM,65,67245,8.287168,49.513201,490.17
LAMERDINGEN,9,86862,10.740889,48.092526,527.91
LAMPERTSWALDE,22,01561,13.673713,51.31545,135.35
LAMSTEDT,28,21769,9.096351,53.636316,313.72
LANDENSBERG,1,89361,10.5234,48.43447,498.41
LANDESBERGEN,16,31628,9.119921,52.55829,290.11
LANDKERN,11,56814,7.152986,50.193207,505.68
LANDSBERG,131,06188,12.15883,51.525359,139.8
LANDSBERIED,4,82290,11.168073,48.162707,510.36
LANDSCHEID,9,54526,6.773142,49.987706,540.94
LANDSHUT,365,84028,12.15892,48.538623,451.87
LANGDORF,14,94264,13.14766,49.013526,390.76
LANGEN,187,49838,7.468918,52.541236,401.88
LANGENALTHEIM,9,91799,10.93313,48.893971,439.59
LANGENARGEN,76,88085,9.54014,47.596737,613.51
LANGENBACH BEI KIRBURG,4,57520,7.938937,50.704066,428.37
LANGENBERNSDORF,34,08428,12.324565,50.754918,210.18
LANGENDORF,1,29484,11.253904,53.102229,158.58
LANGENENSLINGEN,27,88515,9.377962,48.148612,564.31
LANGENHAHN,11,56459,7.918297,50.583308,436.54
LANGENLEUBA NIEDERHAIN,14,04618,12.589232,50.960103,182.52
LANGENLONSHEIM,36,55450,7.899113,49.896796,482.18
LANGENMOSEN,10,86571,11.210488,48.606896,462.36
LANGENNEUFNACH,6,86863,10.605163,48.265334,513.52
LANGENORLA,11,07381,11.577882,50.740303,234.91
LANGENPREISING,18,85465,11.972151,48.425772,466.91
LANGENSELBOLD,116,63505,9.039671,50.175568,400.17
LANGENSENDELBACH,27,91094,11.070631,49.641856,359.54
LANGENWEISSBACH,22,08134,12.584707,50.6286,218.06
LANGENWETZENDORF,33,07957,12.092413,50.680673,223.96
LANGENWOLSCHENDORF,4,07937,11.953632,50.634794,232.63
LANGERRINGEN,24,86853,10.759404,48.142528,522.21
LANGERWEHE,118,52379,6.360112,50.818168,521.7
LANGEWAHL,2,15518,14.104684,52.32712,52.13
LANGEWIESEN,20,98704,10.970268,50.671432,265.85
LANGFURTH,12,91731,10.452236,49.099235,433.67
LANGGOENS,122,35428,8.660092,50.497561,398.32
LANGLINGEN,10,29364,10.289155,52.555379,210.99
LANGSUR,6,54308,6.498107,49.724444,573.85
LANGWEID A.LECH,65,86462,10.855713,48.492842,483.19
LASBEK,14,23847,10.361146,53.733328,244.06
LASSAN,9,17440,13.845043,53.945625,161.38
LASTRUP,70,49688,7.864551,52.79503,375.27
LATHEN,53,49762,7.314254,52.862362,412.59
LAUBEN,19,87493,10.297132,47.780476,572.15
LAUBEN1,28,87761,10.288982,48.060002,543.57
LAUBENHEIM,3,55452,7.895042,49.919173,480.83
LAUCHA AN DER UNSTRUT,20,06636,11.676223,51.223667,186.92
LAUCHHAMMER,136,01979,13.762113,51.494487,116.75
LAUCHRINGEN,66,79787,8.304688,47.630759,654.61
LAUDENBACH,8,63925,9.173847,49.744751,427.41
LAUDENBACH1,17,69514,8.6545,49.611097,463.82
LAUENBRUECK,9,27389,9.552211,53.200735,269.77
LAUENHAGEN,17,31714,9.208019,52.356164,285.36
LAUF,50,77886,8.131381,48.649219,569.44
LAUFACH,53,63846,9.297033,50.013879,399.5
LAUFERSWEILER,3,55487,7.305352,49.897258,515.67
LAUGNA,6,86502,10.695387,48.529665,483.74
LAUMERSHEIM,3,67229,8.233583,49.55425,489.71
LAUSCHA,26,98724,11.159835,50.476118,275.61
LAUSCHIED,1,55568,7.619608,49.740586,508.73
LAUSSIG,44,04838,12.632266,51.546076,120.64
LAUSSNITZ,11,01936,13.877614,51.248941,145.17
LAUTA,78,02991,14.097899,51.461489,127.05
LAUTENBACH,12,77794,8.116643,48.521148,581.28
LAUTER,14,96169,10.786311,49.972563,337.17
LAUTERBACH,16,78730,8.345417,48.228849,597.36
LAUTERBACH1,16,99826,10.350723,51.070786,265
LAUTERTAL,44,96486,10.977187,50.299243,299.18
LAUTRACH,6,87763,10.115516,47.897235,565.31
LAWALDE,12,02708,14.602287,51.07744,180.5
LAWITZ,1,15898,14.635461,52.106323,95.57
LEBACH,201,66822,6.911515,49.410726,571.52
LEBUS,29,15326,14.539936,52.425777,77.67
LEBUSA,7,04936,13.416883,51.797024,80.49
LEEGEBRUCH,60,16767,13.193664,52.723649,26.79
LEESE,8,31633,9.11604,52.505729,290.52
LEEZDORF,9,26529,7.295301,53.548045,424.54
LEEZEN,12,19067,11.499718,53.66194,179.94
LEEZEN1,14,23816,10.251739,53.865227,258.13
LEGDEN,63,48739,7.105517,52.030639,432.37
LEHE,10,25774,9.025334,54.344168,354.3
LEHE1,8,26892,7.34349,53.002707,411.71
LEHESTEN,13,07349,11.448099,50.475717,264.89
LEHESTEN1,12,07778,11.57889,50.981211,212.54
LEHMEN,20,56332,7.450328,50.283786,482.45
LEHRE,96,38165,10.670818,52.33102,186.78
LEIBERTINGEN,21,88637,9.01618,48.042912,587.85
LEIBLFING,53,94339,12.513495,48.772796,421.85
LEIDERSBACH,49,63849,9.218337,49.902153,412.38
LEIFERDE,46,38542,10.43621,52.437822,201.47
LEIMBACH,10,36433,10.195231,50.815035,291.73
LEIMBACH1,7,53518,6.927406,50.404122,507
LEIMBACH2,11,54673,6.256257,50.025028,569.72
LEIMEN,5,66978,7.768609,49.273504,535.64
LEIMEN1,14,69181,8.688782,49.349054,483.61
LEIMERSHEIM,21,76774,8.342259,49.123945,519.06
LEINACH,31,97274,9.798952,49.865408,387.99
LEINATAL,32,99894,10.639206,50.855966,265.94
LEINBURG,75,91227,11.308645,49.449884,371.96
LEINEFELDE WORBIS,147,37327,10.321641,51.387677,246.21
LEINZELL,8,73575,9.877571,48.849263,478.27
LEIPZIG,2939,04109,12.377931,51.338288,149.24
LEISNIG,84,04703,12.926623,51.159434,154.99
LEIWEN,6,54340,6.880097,49.821518,545.24
LEMBERG,35,66969,7.65519,49.172183,549.43
LEMBRUCH,14,49459,8.366446,52.526785,341.19
LEMGOW,10,29485,11.321674,52.910082,147.04
LEMWERDER,59,27809,8.617108,53.163624,329.74
LENGDORF,18,84435,12.051822,48.255915,484.27
LENGEDE,118,38268,10.306207,52.204873,213.53
LENGENFELD,70,08485,12.36572,50.569303,228.75
LENGENWANG,6,87663,10.602972,47.698667,572.66
LENGERICH,22,49525,7.85266,52.189765,379.19
LENGERICH1,11,49838,7.532282,52.553577,397.55
LENGGRIES,76,83661,11.576728,47.682625,554.04
LENNINGEN,79,73252,9.472018,48.551225,521.96
LENTING,36,85101,11.462651,48.807287,435.39
LENZKIRCH,34,79853,8.201128,47.868195,636.58
LEONBERG,11,71229,9.016776,48.800497,516.84
LEONBERG1,8,95666,12.28501,49.946542,296.91
LEOPOLDSHOEHE,127,33818,8.699336,52.011984,325.47
LETSCHIN,42,15324,14.360261,52.645821,66.12
LEUBSDORF,26,09573,13.166969,50.800578,192.11
LEUBSDORF1,28,53547,7.291244,50.547529,476.69
LEUNA,133,06237,12.023504,51.323897,163.47
LEUPOLDSGRUEN,5,95191,11.799057,50.290013,272.12
LEUTENBACH,46,71397,9.392571,48.887529,493.32
LEUTENBACH1,59,91359,11.172535,49.709563,349.55
LEUTENBERG,12,07338,11.456972,50.562982,256.2
LEUTEROD,3,56244,7.819322,50.494222,447.74
LEUTERSDORF,32,02794,14.651481,50.959429,193.8
LEUTERSDORF1,28,98617,10.559471,50.519282,297.36
LEUTESDORF,15,56599,7.385998,50.452992,476.25
LEVERKUSEN,1149,51373,6.979767,51.03245,472.31
LICHTE,10,98739,11.191807,50.526283,269.7
LICHTENAU,81,09244,12.978527,50.904606,182.21
LICHTENAU1,63,33165,8.895788,51.616847,324.46
LICHTENAU2,94,77839,8.008333,48.730149,568.22
LICHTENBERG,12,01896,13.96816,51.17647,154.49
LICHTENBERG/ERZGEB.,16,09638,13.431301,50.829738999999996,188.17
LICHTENBERG1,11,95192,11.675518,50.383275,266.38
LICHTENSTEIN,89,72805,9.254311,48.430248,541.77
LICHTENSTEIN/SA.,95,09350,12.630844,50.756298,203.49
LICHTENTANNE,58,08115,12.427018,50.692703,214.35
LICHTENWALD,11,73669,9.484433,48.752691,502.32
LICHTERFELD SCHACKSDORF,12,03238,13.760687,51.615665,103.57
LIEBENAU,28,34396,9.283728,51.494423,304.55
LIEBENBURG,88,38704,10.432161,52.020145,210
LIEBENSCHEID,2,56479,8.094292,50.695669,419.42
LIEBENWALDE,42,16559,13.393076,52.871681,39.16
LIEBSCHUETZBERG,29,04758,13.184519,51.314586,135.04
LIEBSTADT,10,01825,13.856393,50.863515,187.01
LIENEN,83,49536,7.97575,52.146807,371.55
LIESER,7,54470,7.021045,49.919342,530.68
LILIENTHAL,160,28865,8.90772,53.141292,310.22
LIMBACH,13,08491,12.251439,50.582281,230
LIMBACH OBERFROHNA,240,09212,12.767069,50.858593,190.11
LIMBACH1,14,55606,7.54271,49.741531,512.94
LIMBACH2,13,57629,7.799778,50.701462,437.01
LIMBACH3,7,74838,9.211652,49.461025,449.61
LIMBURGERHOF,88,67117,8.39107,49.42064,492.3
LIMESHAIN,63,63694,8.972786,50.260907,397.41
LINDBERG,8,94227,13.254505,49.03578,388.01
LINDEN,5,25791,9.182428,54.252623,340.19
LINDEN1,3,35440,8.652659,50.530078,396.62
LINDEN2,3,57629,7.850464,50.60202,439.54
LINDEN3,2,66851,7.645916,49.351256,536.04
LINDENDORF,7,15306,14.403174,52.493759,67.7
LINDERN (OLDENBURG),47,49699,7.779913,52.844711,381.23
LINDETAL,11,17094,13.443551,53.485573,107.52
LINDHORST,35,31698,9.284344,52.358059,280.17
LINDLAR,238,51789,7.376293,51.019717,447.45
LINDWEDEL,12,29690,9.687464,52.606188,251.72
LINGENFELD,49,67360,8.347541,49.245889,508.69
LINKENHEIM HOCHSTETTEN,90,76351,8.408502,49.124733,515.82
LINSBURG,4,31636,9.303647,52.593547,277.66
LINSENGERICHT,74,63589,9.19923,50.188757,390.82
LINTHE,3,14822,12.785999,52.154896,58.52
LIPPETAL,107,59510,8.143621,51.656454,372.4
LISBERG,12,96170,10.726884,49.885961,347.61
LISSENDORF,7,54587,6.603569,50.314446,531.9
LITZENDORF,71,96123,11.010097,49.91123,334.95
LOBBACH,13,74931,8.888514,49.376151,471.85
LODDIN,5,17459,14.006635,54.023088,172.05
LOEBAU,112,02708,14.664402,51.096514,180.62
LOEBICHAU,7,04626,12.267306,50.894695,197.21
LOEBNITZ,12,04509,12.463167,51.592229,121.74
LOEBNITZ1,5,18314,12.719334,54.295391,202.8
LOECKNITZ,11,17321,14.212351,53.4533,117.14
LOEF,11,56332,7.440957,50.234638,486.03
LOEHNBERG,58,35792,8.270058,50.511288,420.01
LOERZWEILER,14,55296,8.294435,49.897854,460.49
LOESSNITZ,70,08294,12.732369,50.622709,216.27
LOEWENBERGER LAND,73,16775,13.153285,52.896651,45.23
LOFFENAU,14,76597,8.387066,48.773965,546.86
LOHBERG,9,93470,13.104279,49.17541,372.92
LOHE RICKELSHOF,12,25746,9.065603,54.187725,342.83
LOHFELDEN,111,34253,9.543946,51.277383,299.07
LOHMAR,335,53797,7.209401,50.839775,466.56
LOHMEN,20,01847,13.998567,50.989001,175.27
LOHMEN1,17,18276,12.094615,53.682653,156.27
LOHNSFELD,7,67727,7.853688,49.551112,509.88
LOHRA,68,35102,8.630554,50.735887,384.98
LOHSA,55,02999,14.403568,51.38387,143.84
LOICHING,31,84180,12.429114,48.618673,439.73
LOISSIN,3,17509,13.532163,54.112634,177.49
LOITZ,34,17121,13.129572,53.973646,162.85
LOITZENDORF,1,94359,12.65522,49.086028,385.88
LOMMATZSCH,47,01623,13.30862,51.196630999999996,147.47
LONGKAMP,6,54472,7.119286,49.890367,526.85
LONGUICH,9,54340,6.770531,49.807532,552.54
LONNIG,11,56295,7.40734,50.31047,483.39
LONSEE,68,89173,9.917632,48.543054,506.7
LORUP,17,26901,7.644995,52.924387,390.85
LOSSBURG,80,72290,8.453275,48.411512,576.16
LOTTE,113,49504,7.915207,52.274892,373.8
LOTTSTETTEN,9,79807,8.573676,47.627729,644.45
LOXSTEDT,153,27612,8.64907,53.470254,335.67
LUBMIN,10,17509,13.613919,54.135129,180.33
LUCKA,27,04613,12.331368,51.097963,174.69
LUCKAITZTAL,7,03229,14.006457,51.691991,100.93
LUCKAU,94,15926,13.715887,51.852659,77.26
LUCKENWALDE,162,14943,13.173009,52.089253,50.48
LUCKOW,1,17375,14.156664,53.706873,141.34
LUDWIGSAU,70,36251,9.745033,50.901798,310.07
LUDWIGSFELDE,214,14974,13.262008,52.30004,26.34
LUDWIGSLUST,96,19288,11.497142,53.326305,156.36
LUDWIGSWINKEL,2,66996,7.662747,49.075556,556.69
LUEBBENAU/SPREEWALD,113,03222,13.968659,51.868584,82.09
LUEBBOW,2,29488,11.181483,52.909636,156.08
LUEBOW,13,23972,11.523274,53.853046,194.34
LUEBSTORF,7,19069,11.413605,53.726967,189.06
LUEBTHEEN,28,19249,11.08294,53.30062,178.46
LUEBZ,71,19386,12.026619,53.462799,139.8
LUEDER,6,29394,10.666284,52.808703,187.66
LUEDERSDORF,47,23923,10.811091,53.831497,226.39
LUEDERSFELD,13,31702,9.252911,52.358924,282.29
LUELSFELD,2,97511,10.320149,49.867669,365.29
LUENNE,11,48480,7.423778,52.43095,405.56
LUESSOW,3,18276,12.143124,53.838762,169.22
LUESSOW1,1,18442,13.033698,54.282169,197.7
LUETJENSEE,22,22952,10.364742,53.648967,238.96
LUETZELBACH,55,64750,9.079658,49.786263,428.6
LUETZEN,65,06686,12.14131,51.255894,165.34
LUETZOW,12,19209,11.178418,53.654791,195.22
LUGAU/ERZGEB.,77,09385,12.746491,50.739952,203.31
LUHDEN,14,31711,9.092095,52.226019,294.89
LUISENTHAL,14,99885,10.722582,50.780014,268
LUNDEN,9,25774,9.024249,54.330568,353.54
LUNZENAU,49,09328,12.754155,50.95988,179.37
LUSTADT,23,67363,8.274533,49.244519,512.39
LUTZERATH,16,56826,7.005406,50.127599,518.49
LUTZINGEN,13,89440,10.544484,48.646718,476.13
LYCHEN,16,17279,13.315316,53.210926,77.15
MACHERN,70,04827,12.628959,51.358963,139.79
MACKENBACH,12,67686,7.586909,49.475043,529.85
MAERKISCH LINDEN,7,16818,12.708379,52.918014,64.57
MAERKISCH LUCH,11,14715,12.558619,52.566196,57.53
MAGDALA,10,99441,11.448041,50.90689,224.62
MAGSTADT,107,71106,8.962269,48.742432,524.42
MAHLSTETTEN,1,78601,8.836187,48.075403,591.64
MAIERHOEFEN,12,88167,10.050338,47.65296,592.25
MAIHINGEN,5,86747,10.502083,48.927633,449.1
MAIKAMMER,40,67487,8.131032,49.305833,514.57
MAINASCHAFF,65,63814,9.087302,49.981077,412.64
MAINHARDT,42,74535,9.55678,49.075798,469.23
MAINHAUSEN,79,63533,8.994663,50.013737,414.84
MAINSTOCKHEIM,16,97318,10.152113,49.772867,380.86
MAINZ,1327,55116,8.271855,50.001959,454.16
MAISACH,90,82216,11.257605,48.215758,502.76
MAITENBETH,18,83558,12.092587,48.150129,495.29
MALBERG,1,54655,6.581542,50.047131,548.75
MALBERG1,1,57629,7.814044,50.71485,435.4
MALBORN,11,54426,6.987872,49.715946,546.03
MALCHIN,61,17139,12.762134,53.739434,142.37
MALCHOW,46,17213,12.423356,53.475132,125.02
MALGERSDORF,12,84333,12.747196,48.532507,446.32
MALLISS,4,19294,11.328852,53.212798,159.4
MALSBURG MARZELL,6,79429,7.708589,47.731941,669.91
MALSCH,38,69254,8.684476,49.245462,492.53
MALSCH1,33,76316,8.334952,48.879543,540.12
MALSCHWITZ,39,02694,14.520035,51.237793,162
MALSFELD,46,34323,9.538109,51.0941,309.83
MALTERDINGEN,19,79364,7.792722,48.161274,627.64
MAMMELZEN,5,57636,7.66804,50.701896,445.07
MAMMENDORF,28,82291,11.162678,48.208396,505.62
MAMMING,27,94437,12.603581,48.651628,434.33
MANDEL,6,55595,7.768942,49.856824,492.23
MANDELBACHTAL,100,66399,7.142743,49.197062,574.5
MANDERN,3,54429,6.76953,49.60761,565.86
MANDERSCHEID,8,54531,6.808091,50.092513,532.42
MANDERSCHEID1,10,54649,6.346656,50.100333,559.82
MANSFELD,90,06343,11.458386,51.597842,168.18
MARCH,78,79232,7.78046,48.053089,637.81
MARGETSHOECHHEIM,24,97276,9.863862,49.835946,387.64
MARIAPOSCHING,10,94553,12.808351,48.827251,413.22
MARIENBERG,163,09496,13.159828,50.651644,208.67
MARIENHEIDE,123,51709,7.531284,51.08374,434.64
MARIENRACHDORF,4,56242,7.713522,50.551588,450.73
MARIENTAL,2,38368,10.98211,52.277065,166.77
MARING NOVIAND,11,54484,6.986395,49.928466,532.11
MARK LANDIN,12,16278,14.07859,53.106959,79.52
MARKERSDORF,44,02829,14.879203,51.135912,184.45
MARKKLEEBERG,199,04416,12.374495,51.280005,155.12
MARKLKOFEN,39,84163,12.552017,48.553092,445.69
MARKLOHE,46,31608,9.156531,52.668633,287.72
MARKNEUKIRCHEN,63,08258,12.328041,50.311884,256.92
MARKRANSTAEDT,133,04420,12.220204,51.301272,158.19
MARKSUHL,15,99819,10.203082,50.91357,284.11
MARKTOFFINGEN,9,86748,10.468622,48.923783,450.56
MARL,2,45768,7.101811,51.658211,441.52
MARL1,2,49448,8.364876,52.484483,341.49
MARLOFFSTEIN,11,91080,11.065614,49.617391,362.15
MARLOW,38,18337,12.570959,54.154202,190.17
MARNE,47,25709,9.008761,53.953695,333.48
MARNHEIM,8,67297,8.04114,49.6341,493.67
MARNITZ,1,19376,11.928221,53.317974,133.09
MARPINGEN,93,66646,7.057295,49.451724,560.49
MARQUARTSTEIN,6,83250,12.462445,47.75718,534.43
MARSCHACHT,31,21436,10.367666,53.417357,226.78
MARTFELD,9,27327,9.067936,52.875786,295.2
MARTINSHEIM,12,97340,10.149589,49.62401,394.6
MARTINSHOEHE,6,66894,7.478531,49.364261,543.95
MARXEN,15,21439,10.00924,53.311539,244.34
MARXHEIM,10,86688,10.946638,48.741629,454.95
MARXZELL,50,76359,8.448322,48.863172,536.3
MARZLING,22,85417,11.793717,48.410488,471.47
MASBURG,13,56761,7.116888,50.241755,504.91
MASELHEIM,40,88437,9.883935,48.13449,548.43
MASSEN NIEDERLAUSITZ,16,03238,13.732237,51.642931,100.17
MASSERBERG,17,98666,10.969358,50.520034,279.3
MASSWEILER,4,66506,7.528069,49.271061,548.39
MASTERSHAUSEN,16,56869,7.354759,50.064296,501.86
MAUCHENHEIM,6,67294,8.046435,49.717387,487.15
MAUER,49,69256,8.799677,49.339474,479.14
MAUERN,16,85419,11.897499,48.51714,458.17
MAUERSTETTEN,20,87665,10.669985,47.892332,550.67
MAULBURG,34,79689,7.77816,47.640837,675.26
MAUTH,11,94151,13.583714,48.886789,404.64
MAXDORF,60,67133,8.287513,49.481815,492.63
MAXSAIN,10,56244,7.786441,50.543687,446.79
MECHTERSEN,1,21358,10.31886,53.280228,223.82
MECKENBEUREN,115,88074,9.562678,47.700637,602.34
MECKENHEIM,34,53340,7.022259,50.622043,489.33
MECKENHEIM1,30,67149,8.238815,49.404701,501.23
MECKESHEIM,45,74909,8.81789,49.32267,479.7
MEDDERSHEIM,12,55566,7.615399,49.77687,506.4
MEDDEWADE,4,23847,10.440757,53.810258,244.43
MEDLINGEN,8,89441,10.318138,48.567599,491.08
MEEDER,44,96484,10.906667,50.321594,299.91
MEERANE,125,08393,12.463982,50.849217,197
MEERBECK,13,31715,9.14462,52.342306,289.8
MEGESHEIM,4,86750,10.649913,48.938941,443.32
MEHLBACH,16,67735,7.717068,49.521821,519.37
MEHLINGEN,36,67678,7.855085,49.493578,514.16
MEHLMEISEL,14,95694,11.854737,49.976004,303.08
MEHREN,4,54552,6.88069,50.176524,523
MEHREN1,9,57635,7.509996,50.685809,455.68
MEHRING,5,54346,6.824236,49.797249,550.08
MEHRING1,14,84561,12.78353,48.178788,485.27
MEHRSTETTEN,12,72537,9.566367,48.376623,535.34
MEINE,84,38527,10.545222,52.381857,194.61
MEINERSEN,76,38536,10.362138,52.475153,206.26
MEINHARD,44,37276,10.064348,51.206055,272.23
MEINHEIM,3,91802,10.813813,49.029251,429.2
MEININGEN,157,98617,10.419048,50.57111,299.61
MEISSEN,174,01662,13.468635,51.159993,151.46
MEISSENHEIM,40,77974,7.775836,48.408333,606.77
MEISSNER,31,37290,9.937311,51.211361,279.31
MELBECK,26,21406,10.403227,53.178586,214.68
MELLENBACH GLASBACH,5,98746,11.102499,50.595483,266.97
MELLINGEN,6,99441,11.397359,50.940657,223.74
MELLINGHAUSEN,7,27249,8.897384,52.707433,305.34
MELSBACH,21,56581,7.479555,50.487858,468.57
MEMMELSDORF,105,96117,10.95495,49.932697,334.81
MEMMINGEN,332,87700,10.184968,47.988445,553.93
MEMMINGERBERG,8,87766,10.208405,47.987719,553.32
MENGERSCHIED,6,55490,7.505604,49.912549,503.2
MENGKOFEN,70,84152,12.441461,48.720523,428.38
MENSLAGE,13,49637,7.818913,52.674882,378.01
MENTERODA,14,99996,10.560617,51.307257,237.4
MERCHING,21,86504,10.983652,48.244229,505.98
MERCHWEILER,97,66589,7.061476,49.361206,566.78
MERDINGEN,12,79291,7.686737,48.017737,645.14
MERKLINGEN,15,89188,9.755088,48.511695,515.44
MERTENDORF,8,06618,11.856874,51.118515,188.9
MERTENDORF1,4,07619,11.786716,50.992094,203.37
MERTESDORF,6,54318,6.734403,49.772837,556.9
MERTINGEN,30,86690,10.807913,48.657172,467.47
MERTLOCH,5,56753,7.307472,50.27181,491.69
MERXHEIM,7,55627,7.56188,49.794495,508.15
MERZALBEN,8,66978,7.73204,49.244632,539.79
MERZDORF,6,04932,13.535293,51.402367,124.74
MERZEN,34,49586,7.830143,52.47706,377.74
MERZENICH,95,52399,6.524672,50.828594,510.67
MERZHAUSEN,32,79249,7.828697,47.966362,643.46
MERZKIRCHEN,1,54439,6.476831,49.5789,584.63
MESCHERIN,2,16307,14.430128,53.247318,106.29
MESEKENHAGEN,6,17498,13.316622,54.149733,181.52
MESPELBRUNN,12,63875,9.289835,49.916005,407.74
MESSENKAMP,2,31867,9.380084,52.260048,274.93
MESSINGEN,7,49832,7.460185,52.466511,402.85
